country,iso2c,year,indicator,value,unit
Trinidad and Tobago,TT,1960,SI.POV.GINI,,
Trinidad and Tobago,TT,1961,SI.POV.GINI,,
Trinidad and Tobago,TT,1962,SI.POV.GINI,,
Trinidad and Tobago,TT,1963,SI.POV.GINI,,
Trinidad and Tobago,TT,1964,SI.POV.GINI,,
Trinidad and Tobago,TT,1965,SI.POV.GINI,,
Trinidad and Tobago,TT,1966,SI.POV.GINI,,
Trinidad and Tobago,TT,1967,SI.POV.GINI,,
Trinidad and Tobago,TT,1968,SI.POV.GINI,,
Trinidad and Tobago,TT,1969,SI.POV.GINI,,
Trinidad and Tobago,TT,1970,SI.POV.GINI,,
Trinidad and Tobago,TT,1971,SI.POV.GINI,,
Trinidad and Tobago,TT,1972,SI.POV.GINI,,
Trinidad and Tobago,TT,1973,SI.POV.GINI,,
Trinidad and Tobago,TT,1974,SI.POV.GINI,,
Trinidad and Tobago,TT,1975,SI.POV.GINI,,
Trinidad and Tobago,TT,1976,SI.POV.GINI,,
Trinidad and Tobago,TT,1977,SI.POV.GINI,,
Trinidad and Tobago,TT,1978,SI.POV.GINI,,
Trinidad and Tobago,TT,1979,SI.POV.GINI,,
Trinidad and Tobago,TT,1980,SI.POV.GINI,,
Trinidad and Tobago,TT,1981,SI.POV.GINI,,
Trinidad and Tobago,TT,1982,SI.POV.GINI,,
Trinidad and Tobago,TT,1983,SI.POV.GINI,,
Trinidad and Tobago,TT,1984,SI.POV.GINI,,
Trinidad and Tobago,TT,1985,SI.POV.GINI,,
Trinidad and Tobago,TT,1986,SI.POV.GINI,,
Trinidad and Tobago,TT,1987,SI.POV.GINI,,
Trinidad and Tobago,TT,1988,SI.POV.GINI,42.6,
Trinidad and Tobago,TT,1989,SI.POV.GINI,,
Trinidad and Tobago,TT,1990,SI.POV.GINI,,
Trinidad and Tobago,TT,1991,SI.POV.GINI,,
Trinidad and Tobago,TT,1992,SI.POV.GINI,40.2,
Trinidad and Tobago,TT,1993,SI.POV.GINI,,
Trinidad and Tobago,TT,1994,SI.POV.GINI,,
Trinidad and Tobago,TT,1995,SI.POV.GINI,,
Trinidad and Tobago,TT,1996,SI.POV.GINI,,
Trinidad and Tobago,TT,1997,SI.POV.GINI,,
Trinidad and Tobago,TT,1998,SI.POV.GINI,,
Trinidad and Tobago,TT,1999,SI.POV.GINI,,
Trinidad and Tobago,TT,2000,SI.POV.GINI,,
Trinidad and Tobago,TT,2001,SI.POV.GINI,,
Trinidad and Tobago,TT,2002,SI.POV.GINI,,
Trinidad and Tobago,TT,2003,SI.POV.GINI,,
Trinidad and Tobago,TT,2004,SI.POV.GINI,,
Trinidad and Tobago,TT,2005,SI.POV.GINI,,
Trinidad and Tobago,TT,2006,SI.POV.GINI,,
Trinidad and Tobago,TT,2007,SI.POV.GINI,,
Trinidad and Tobago,TT,2008,SI.POV.GINI,,
Trinidad and Tobago,TT,2009,SI.POV.GINI,,
Trinidad and Tobago,TT,2010,SI.POV.GINI,,
Trinidad and Tobago,TT,2011,SI.POV.GINI,,
Trinidad and Tobago,TT,2012,SI.POV.GINI,,
Trinidad and Tobago,TT,2013,SI.POV.GINI,,
Trinidad and Tobago,TT,2014,SI.POV.GINI,,
Trinidad and Tobago,TT,2015,SI.POV.GINI,,
Trinidad and Tobago,TT,2016,SI.POV.GINI,,
Trinidad and Tobago,TT,2017,SI.POV.GINI,,
Trinidad and Tobago,TT,2018,SI.POV.GINI,,
Trinidad and Tobago,TT,2019,SI.POV.GINI,,
Trinidad and Tobago,TT,2020,SI.POV.GINI,,
Trinidad and Tobago,TT,2021,SI.POV.GINI,,
Trinidad and Tobago,TT,2022,SI.POV.GINI,,
Trinidad and Tobago,TT,2023,SI.POV.GINI,,
Trinidad and Tobago,TT,2024,SI.POV.GINI,,
