country,iso2c,year,indicator,value,unit
Guyana,GY,1960,SI.POV.UMIC,,%
Guyana,GY,1961,SI.POV.UMIC,,%
Guyana,GY,1962,SI.POV.UMIC,,%
Guyana,GY,1963,SI.POV.UMIC,,%
Guyana,GY,1964,SI.POV.UMIC,,%
Guyana,GY,1965,SI.POV.UMIC,,%
Guyana,GY,1966,SI.POV.UMIC,,%
Guyana,GY,1967,SI.POV.UMIC,,%
Guyana,GY,1968,SI.POV.UMIC,,%
Guyana,GY,1969,SI.POV.UMIC,,%
Guyana,GY,1970,SI.POV.UMIC,,%
Guyana,GY,1971,SI.POV.UMIC,,%
Guyana,GY,1972,SI.POV.UMIC,,%
Guyana,GY,1973,SI.POV.UMIC,,%
Guyana,GY,1974,SI.POV.UMIC,,%
Guyana,GY,1975,SI.POV.UMIC,,%
Guyana,GY,1976,SI.POV.UMIC,,%
Guyana,GY,1977,SI.POV.UMIC,,%
Guyana,GY,1978,SI.POV.UMIC,,%
Guyana,GY,1979,SI.POV.UMIC,,%
Guyana,GY,1980,SI.POV.UMIC,,%
Guyana,GY,1981,SI.POV.UMIC,,%
Guyana,GY,1982,SI.POV.UMIC,,%
Guyana,GY,1983,SI.POV.UMIC,,%
Guyana,GY,1984,SI.POV.UMIC,,%
Guyana,GY,1985,SI.POV.UMIC,,%
Guyana,GY,1986,SI.POV.UMIC,,%
Guyana,GY,1987,SI.POV.UMIC,,%
Guyana,GY,1988,SI.POV.UMIC,,%
Guyana,GY,1989,SI.POV.UMIC,,%
Guyana,GY,1990,SI.POV.UMIC,,%
Guyana,GY,1991,SI.POV.UMIC,,%
Guyana,GY,1992,SI.POV.UMIC,83.5,%
Guyana,GY,1993,SI.POV.UMIC,,%
Guyana,GY,1994,SI.POV.UMIC,,%
Guyana,GY,1995,SI.POV.UMIC,,%
Guyana,GY,1996,SI.POV.UMIC,,%
Guyana,GY,1997,SI.POV.UMIC,,%
Guyana,GY,1998,SI.POV.UMIC,54.2,%
Guyana,GY,1999,SI.POV.UMIC,,%
Guyana,GY,2000,SI.POV.UMIC,,%
Guyana,GY,2001,SI.POV.UMIC,,%
Guyana,GY,2002,SI.POV.UMIC,,%
Guyana,GY,2003,SI.POV.UMIC,,%
Guyana,GY,2004,SI.POV.UMIC,,%
Guyana,GY,2005,SI.POV.UMIC,,%
Guyana,GY,2006,SI.POV.UMIC,,%
Guyana,GY,2007,SI.POV.UMIC,,%
Guyana,GY,2008,SI.POV.UMIC,,%
Guyana,GY,2009,SI.POV.UMIC,,%
Guyana,GY,2010,SI.POV.UMIC,,%
Guyana,GY,2011,SI.POV.UMIC,,%
Guyana,GY,2012,SI.POV.UMIC,,%
Guyana,GY,2013,SI.POV.UMIC,,%
Guyana,GY,2014,SI.POV.UMIC,,%
Guyana,GY,2015,SI.POV.UMIC,,%
Guyana,GY,2016,SI.POV.UMIC,,%
Guyana,GY,2017,SI.POV.UMIC,,%
Guyana,GY,2018,SI.POV.UMIC,,%
Guyana,GY,2019,SI.POV.UMIC,,%
Guyana,GY,2020,SI.POV.UMIC,,%
Guyana,GY,2021,SI.POV.UMIC,,%
Guyana,GY,2022,SI.POV.UMIC,,%
Guyana,GY,2023,SI.POV.UMIC,,%
Guyana,GY,2024,SI.POV.UMIC,,%
